treatment	FS	FS	FS	B	B	B	F	F	F	S	B	S	S	FS	FS	FS	B	B	B	F	F	B	F	S	S	S	FS	FS	FS	B	F	F	F	S	S	S
UNINTEGRATED|g__Roseburia.s__Roseburia_hominis	2767.87	3292.33	3433.33	7489.84	7145.82	6094.31	8832.07	7761.31	8235.11	8596.23	2782.99	8538.24	8006.77	7395.67	8070.41	7918.17	6395.35	4680.81	7203.89	8777.13	5945.04	2524.06	6752.08	6618.87	7298.93	6885.38	8636.14	6861.03	7921.04	2582.03	6067.61	4231.13	2036.82	2582.82	0	3723.03
UNINTEGRATED|g__Ruminococcus.s__Ruminococcus_bicirculans	4959.68	4832.66	5874.75	0	0	0	0	0	0	0	2367.21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2384.29	2827.77	2412.13	2980.28	6543.46
UNINTEGRATED|g__Ruminococcus.s__Ruminococcus_bromii	12449.1	12347.6	14062.9	7374.37	6520.1	6239.53	7033.29	6785.58	8065.71	6369.59	13126.2	7465.84	7032.27	5705.51	5493.42	7531.85	8995.59	6521.58	10733.3	8860.99	8512.56	12664.4	7745.12	10230	9617.51	9560.73	10253.4	8648.68	10442	11613.9	14592.1	14095.9	12633.3	11798.8	11274	13879.2
UNINTEGRATED|g__Ruminococcus.s__Ruminococcus_lactaris	0	0	1068.16	625.793	0	0	0	0	0	0	0	0	0	0	0	0	0	0	759.565	0	0	0	0	0	0	0	0	0	592.759	0	0	0	0	0	0	1115.16
UNINTEGRATED|g__Ruminococcus.s__Ruminococcus_sp_AF31_8BH	1957.53	1758.03	1667.27	0	0	0	0	0	0	0	1042.9	0	0	0	0	0	1057.65	0	787.984	1008.75	364.988	0	0	0	890.038	799.285	1036.26	885.697	1009.9	666.273	1893.17	0	1208.31	0	1582.75	1563.1
UNINTEGRATED|g__Ruthenibacterium.s__Ruthenibacterium_lactatiformans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	447.487	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Salmonella.s__Salmonella_enterica	0	0	0	3476.66	3296.62	4951.76	3256.91	0	3426.62	2814.43	0	2473.66	3036.49	2838.74	2099.19	3317.12	3643.53	0	3413.74	0	2617.96	0	4014.78	1984.89	2700.08	2913.21	2703.72	0	2813.15	0	0	0	0	0	0	0
UNINTEGRATED|g__Streptococcus.s__Streptococcus_equinus	829.982	1211.46	881.719	822.455	0	514.123	691.098	279.485	716.813	7133.36	624.803	4707.81	8053.57	5153.18	7081.28	8042.34	480.762	0	443.872	117.612	0	0	0	7828.17	5683.67	6922.5	5533.18	6562.56	6768.34	470.175	0	487.398	568.872	359.067	1352.7	842.702
UNINTEGRATED|g__Streptococcus.s__Streptococcus_parasanguinis	0	0	0	407.992	0	0	0	0	220.726	0	0	297.976	0	0	0	0	0	0	220.633	0	0	0	0	0	0	0	50.829	0	400.664	0	0	0	0	0	0	154.854
UNINTEGRATED|g__Streptococcus.s__Streptococcus_pneumoniae	2029.79	1043.03	1364.47	1345.26	0	900.815	2595.01	901.491	793.617	9133.18	742.103	7492.45	10441.8	8176.58	7994.91	10363.4	1251.05	0	1513.18	0	0	0	0	9750.26	7162.51	9620.55	7020.89	7705.93	8419.54	0	1042.84	0	1413.88	762.245	2610.02	2016.77
UNINTEGRATED|g__Streptococcus.s__Streptococcus_salivarius	2027.83	3439.08	1989.68	1516.96	0	1451.77	2877.4	2226.5	796.302	18259	1063.11	12065.3	18302.2	11237.8	13301	15953	1035.8	0	1246.02	1115.37	0	0	0	16909.8	12180.9	15019	11725.4	16209.2	17465.9	2076.48	0	741.805	516.806	1914.79	2218.61	2230.96
UNINTEGRATED|g__Streptococcus.s__Streptococcus_thermophilus	2042.43	2026.98	1003.3	442.891	0	741.792	0	0	0	0	818.091	2228.75	0	2228.54	0	2972.5	587.441	0	407.299	0	0	0	0	0	2182.24	2650.95	1779.1	0	2469.68	0	0	2585.71	1563.88	0	1565.87	1438.6
UNINTEGRATED|g__Streptococcus.s__Streptococcus_vestibularis	156.462	484.741	305.376	117.307	0	0	0	0	241.229	1924.55	103.225	1191.59	2301.61	1276.18	1939.38	1849.67	137.895	0	168.596	0	0	0	0	1671.25	1220.81	1725.1	1233.82	1523.05	1905.59	0	0	0	0	0	0	226.787
UNINTEGRATED|g__Weissella.s__Weissella_cibaria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	465.317	0	0	0	0	0	240.997	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Weissella.s__Weissella_confusa	0	0	0	539.39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	466.701	0	0	0	0	0	205.68	0	865.152	0	697.493	0	0	0	0	0	0	0
UNINTEGRATED|unclassified	61494.8	57214.1	63953.4	58091.7	64412.3	55824.6	57624.5	57180.4	58471.4	54819	55467.9	56836.5	56502.1	57658	53547.1	55923.7	60074.9	64647.2	55936.6	56485	62554.8	45336.7	55720.6	57323.8	59288	58660.4	62168	59091	57954.1	54546.6	51528.9	53037.6	56390.6	56665.2	48332.3	72106
1CMET2-PWY: folate transformations III (E. coli)	308.428	249.85	321.095	308.68	286.703	298.645	262.668	280.541	299.883	313.098	276.693	332.392	276.93	278.675	288.439	301.227	309.114	95.5244	320.612	326.817	300.59	264.534	253.538	273.105	338.776	319.86	313.079	301.187	346.182	240.247	246.049	301.822	279.353	245.127	271.954	356.775
1CMET2-PWY: folate transformations III (E. coli)|g__Alistipes.s__Alistipes_putredinis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.39151	0	6.68347	0	9.09309	0	0	0	8.19273	0	6.77571	0	8.91437	0	0	0	0	0	0	0
1CMET2-PWY: folate transformations III (E. coli)|g__Bacteroides.s__Bacteroides_dorei	0	1.94222	3.23723	1.90661	0	0	0	0	0	0	2.2453	1.76006	3.18177	0	0	0	1.84735	0	1.40906	0	2.9864	0	0	0	0	1.30388	0	0	1.36855	0	0	0	0	0	0	0
1CMET2-PWY: folate transformations III (E. coli)|g__Bacteroides.s__Bacteroides_ovatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.14269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1CMET2-PWY: folate transformations III (E. coli)|g__Bacteroides.s__Bacteroides_vulgatus	25.5659	35.0255	28.4992	22.6803	21.1441	21.2815	0	18.3839	22.685	15.9111	26.9777	21.5997	19.5338	24.7443	0	12.2571	23.8356	0	14.124	19.9785	21.6221	0	0	0	21.9053	17.9842	21.5701	17.725	19.4588	29.0083	0	35.109	36.3637	0	0	33.5032
1CMET2-PWY: folate transformations III (E. coli)|g__Bacteroides.s__Bacteroides_xylanisolvens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.52274	0	0	0	0	0	0	0.402898
1CMET2-PWY: folate transformations III (E. coli)|g__Blautia.s__Blautia_obeum	7.70752	0	11.895	6.41229	0	0	0	5.02944	5.13136	8.68592	11.9507	8.57283	5.82331	0	10.1422	0	5.17212	0	5.97114	0	0	0	0	0	5.25621	0	1.09043	1.65305	6.06612	0	0	8.17305	8.79554	0	6.85786	11.8509
1CMET2-PWY: folate transformations III (E. coli)|g__Blautia.s__Blautia_wexlerae	0	0	0	0	0	0	0	4.67588	5.54825	0	0	4.47848	0	0	0	0	0	0	3.53867	0	0	0	0	0	0	0	3.03173	0	1.89436	0	0	0	0	0	0	0
1CMET2-PWY: folate transformations III (E. coli)|g__Blautia.s__Ruminococcus_torques	18.9583	0	21.1689	16.5461	0	0	11.1906	0	8.69447	8.54219	17.6059	8.30973	0	0	5.04077	0	7.93828	0	8.77096	10.5462	0	0	0	0	12.49	0	12.3112	8.45861	10.0849	0	13.7002	0	11.5286	0	16.4368	16.1607
1CMET2-PWY: folate transformations III (E. coli)|g__Catenibacterium.s__Catenibacterium_mitsuokai	0	0	12.9246	22.8008	21.8254	14.1461	19.1794	22.5188	22.9191	19.4254	0	21.0899	21.3033	6.48611	16.9099	16.284	18.3269	0	17.4877	22.6333	12.7558	0	18.2415	17.5143	18.9554	21.9355	19.7081	17.2955	18.9002	0	0	0	0	0	11.2236	0
1CMET2-PWY: folate transformations III (E. coli)|g__Escherichia.s__Escherichia_coli	0	0	0	12.4776	9.31209	25.4094	0	12.1876	0	3.92184	0	12.5059	0	0	0	0	14.7574	0	23.1707	0	0	0	0	0	9.57025	3.63817	5.17537	0	10.033	0	0	0	0	0	0	0
1CMET2-PWY: folate transformations III (E. coli)|g__Escherichia.s__Escherichia_fergusonii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1CMET2-PWY: folate transformations III (E. coli)|g__Klebsiella.s__Klebsiella_pneumoniae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1CMET2-PWY: folate transformations III (E. coli)|g__Roseburia.s__Roseburia_faecis	0	0	15.9602	0	0	0	0	0	0	0	0	6.23369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.81282	0	0	0	0	14.2311
1CMET2-PWY: folate transformations III (E. coli)|unclassified	38.5187	18.9563	47.4618	9.71458	13.2938	15.8219	33.4022	23.202	20.4472	32.1221	28.1724	23.3761	21.5632	32.6049	11.7353	19.2394	27.493	0	31.5234	26.116	27.4318	0	30.1884	21.2665	33.8053	31.3721	32.4107	18.608	31.6243	22.541	35.3016	16.4836	39.3909	0	0	43.4732
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation	0	0	0	6.58898	0	13.5686	0	9.67635	8.13911	7.86893	0	0	0	0	5.59873	2.53996	5.3474	0	13.9362	0	6.08064	0	0	0	4.73929	6.77552	3.01316	2.01111	7.93462	0	0	0	0	0	0	0
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation|g__Escherichia.s__Escherichia_coli	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.45314	0	0	0	0	0	0	0	0	0	3.83297	0	0	0	0	0	0	0
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation|g__Escherichia.s__Escherichia_fergusonii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.639506	0	0	0	0	0	0	0
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation|g__Klebsiella.s__Klebsiella_pneumoniae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation|unclassified	0	0	0	0	0	0	0	0	0	3.18779	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AEROBACTINSYN-PWY: aerobactin biosynthesis	0	0	0	0	0	0	0	0	5.06065	0	0	0	0	0	0	0	4.31002	0	5.30101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AEROBACTINSYN-PWY: aerobactin biosynthesis|g__Escherichia.s__Escherichia_coli	0	0	0	0	0	0	0	0	5.06065	0	0	0	0	0	0	0	3.45399	0	3.16147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AEROBACTINSYN-PWY: aerobactin biosynthesis|g__Escherichia.s__Escherichia_fergusonii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AEROBACTINSYN-PWY: aerobactin biosynthesis|g__Klebsiella.s__Klebsiella_oxytoca	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AEROBACTINSYN-PWY: aerobactin biosynthesis|g__Klebsiella.s__Klebsiella_pneumoniae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AEROBACTINSYN-PWY: aerobactin biosynthesis|g__Salmonella.s__Salmonella_enterica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALLANTOINDEG-PWY: superpathway of allantoin degradation in yeast	0	0	0	22.2479	39.5546	28.9351	19.1384	22.4313	12.8244	12.5214	0	25.8575	27.1097	14.7146	16.6647	20.3403	27.9845	16.233	29.5121	9.31719	12.1558	0	11.5181	6.03401	16.5358	14.2504	5.61059	13.2632	7.93668	0	0	0	0	0	0	0
ALLANTOINDEG-PWY: superpathway of allantoin degradation in yeast|unclassified	0	0	0	0	10.4041	6.53531	5.96279	0	6.39192	0	0	4.33101	12.2776	0	0	4.14175	0	0	6.14077	3.87199	6.05689	0	3.819	4.67806	2.92101	3.26313	0	1.88403	4.47557	0	0	0	0	0	0	0
ANAEROFRUCAT-PWY: homolactic fermentation	226.859	212.886	224.873	285.882	259.729	282.384	273.879	275.472	296.634	311.965	222.204	331.874	305.875	261.161	295.893	345.014	280.636	175.993	304.123	312.493	243.884	206.152	248.748	288.384	327.732	318.997	329.613	295.586	343.807	174.625	188.031	189.321	176.016	177.289	223.317	257.104
ANAEROFRUCAT-PWY: homolactic fermentation|g__Catenibacterium.s__Catenibacterium_mitsuokai	0	0	11.7636	15.2221	12.6856	13.4116	14.2443	15.4317	18.5725	17.426	0	11.5167	7.37759	0	5.56026	8.35369	16.61	0	13.8286	9.01906	0	0	12.2084	14.5896	14.0469	9.21677	15.2922	12.3171	13.054	0	0	0	0	0	0	11.617
ANAEROFRUCAT-PWY: homolactic fermentation|g__Escherichia.s__Escherichia_coli	0	0	0	12.6706	0	28.1679	0	0	16.5102	0	0	0	0	0	0	11.6085	7.98055	0	34.3988	0	9.73645	0	0	0	0	0	0	0	6.63381	0	0	0	0	0	0	0
ANAEROFRUCAT-PWY: homolactic fermentation|unclassified	0	23.6968	19.1484	25.9432	36.693	24.053	17.4142	21.2486	25.1506	19.0157	15.0497	15.8215	28.8484	23.3083	13.0185	25.0529	24.301	37.0471	23.4003	23.1101	25.3045	0	22.3701	20.9119	30.2632	18.9413	26.5233	11.1191	23.8079	16.4126	0	0	17.0722	0	0	16.5928
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	402.972	381.615	420.411	363.497	328.298	363.44	347.015	342.915	380.392	385.385	394.107	399.883	365.763	333.522	339.452	405.03	387.702	262.083	379.072	392.638	321.06	348.935	309.983	356.645	396.155	391.002	391.313	361.8	409.56	354.923	326.242	370.858	386.685	314.677	314.027	470.688
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Anaerostipes.s__Anaerostipes_hadrus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.42618
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Bacteroides.s__Bacteroides_fragilis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.415377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Bifidobacterium.s__Bifidobacterium_longum	0	0	0	0	0	0	0	0	14.6764	0	0	0	0	0	0	0	0	0	5.24267	2.4563	2.7279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Blautia.s__Blautia_obeum	15.9056	14.9648	9.86984	9.75903	0	7.56584	0	6.03641	3.90784	0	9.39771	8.30529	0	0	0	9.58762	6.0775	0	7.08993	6.34149	0	15.3735	0	0	5.21137	8.31067	8.36925	5.54494	5.03541	7.68246	12.2885	10.6313	11.1865	15.1917	10.4603	14.9483
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Blautia.s__Blautia_wexlerae	14.6367	16.5142	16.3067	9.08778	0	8.01538	0	8.74197	7.84668	8.25836	19.1797	7.79444	0	0	0	11.0323	4.98582	0	6.2719	11.1971	0	14.1681	0	0	8.47649	7.66204	8.01797	8.5441	8.74067	18.1866	14.5384	13.4864	11.4046	15.4381	14.1572	18.0522
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Blautia.s__Ruminococcus_torques	25.8714	27.9515	31.7404	15.0377	12.3235	15.5601	10.3317	14.9418	12.7835	4.97805	29.1985	18.905	12.8333	16.7986	9.33179	13.9118	16.7125	0	16.115	14.9671	14.8175	29.8983	0	0	19.1681	15.5205	16.2688	13.0708	15.1472	27.3775	25.4378	29.9557	28.7934	16.847	17.6087	31.0688
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Catenibacterium.s__Catenibacterium_mitsuokai	0	0	11.7926	21.9635	18.9292	22.1202	26.6626	26.6716	23.898	23.7398	0	23.4873	22.9056	22.7725	20.6462	11.1457	19.1749	0	19.8462	28.9835	0	0	18.9976	18.1161	21.3423	18.4572	21.8449	19.7065	19.664	0	0	0	11.0565	0	0	10.9626
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Collinsella.s__Collinsella_aerofaciens	13.0887	0	12.5706	12.4387	0	13.8608	22.8792	17.8352	17.462	13.2544	10.4735	20.2106	18.4176	14.0498	0	0	12.2611	0	14.6627	20.0894	0	0	12.4019	0	15.6778	14.7818	16.03	10.8952	14.9007	0	0	0	0	0	0	15.2742
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Dorea.s__Dorea_longicatena	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.78852
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Escherichia.s__Escherichia_coli	0	0	0	26.9114	23.1654	42.5798	0	16.1095	24.9236	0	0	0	0	0	0	22.2453	34.4552	0	49.0016	0	13.8697	0	13.8816	0	8.00649	12.8813	7.60973	0	11.6225	0	0	0	0	0	0	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Escherichia.s__Escherichia_fergusonii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28.6103	0	0	0	0	17.2685	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Fusobacterium.s__Fusobacterium_mortiferum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Lachnoclostridium.s__Clostridium_bolteae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Lachnospiraceae_unclassified.s__Eubacterium_rectale	12.1274	9.24036	12.3875	6.18812	0	4.94777	0	5.0616	4.79385	6.29015	9.13437	6.85805	0	4.85903	1.92975	4.16459	8.52261	0	6.5878	5.58343	10.2741	13.1988	0	0	6.77809	6.61434	8.84652	7.30781	7.90842	8.65096	10.3925	12.3422	12.8361	10.8565	0	12.5532
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Parabacteroides.s__Parabacteroides_distasonis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Roseburia.s__Roseburia_faecis	17.1775	16.9653	18.333	9.56307	0	0	0	10.1069	8.67088	15.1544	14.0019	13.6123	0	0	16.4495	11.7672	0	0	0	0	0	0	0	0	0	0	0	0	5.04576	18.0214	0	22.5139	16.5231	0	16.7118	18.2794
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Roseburia.s__Roseburia_hominis	0	0	4.0964	13.5004	8.12793	11.2596	14.3278	13.0078	14.9785	16.2119	0	14.4547	10.2084	12.2094	12.8829	13.4656	10.5973	0	12.762	14.4464	0	0	11.5208	12.0899	12.9548	10.4968	13.39	9.26358	13.0983	0	0	0	0	0	0	5.4305
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Ruminococcus.s__Ruminococcus_bicirculans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.0197
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Ruminococcus.s__Ruminococcus_sp_AF31_8BH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.92797	0	0	0	0	0	1.26815	0	0.935596	0	2.32629	0	0	0	0	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Streptococcus.s__Streptococcus_equinus	0	0	0	0	0	0	0	0	0	2.4234	0	0	0	0	3.2597	0	0	0	0	0	0	0	0	0	3.64325	0	0	1.9925	0	0	0	0	0	0	0	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Streptococcus.s__Streptococcus_pneumoniae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.41744	0	0	0	0	0	0	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Streptococcus.s__Streptococcus_salivarius	0	0	0	0	0	0	0	0	0	2.66661	0	0	6.19661	0	0	0	0	0	1.00428	0	0	0	0	0	4.13326	4.62527	0	4.78916	0	0	0	0	0	0	0	1.55642
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Streptococcus.s__Streptococcus_thermophilus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.893208	0	0	0	0	0	0	0	0	1.23092
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Streptococcus.s__Streptococcus_vestibularis	0	0	0	0	0	0	0	0	0	0	0	2.01689	4.11931	0	3.76563	0	0	0	0	0	0	0	0	2.6277	0	4.84974	0	2.94285	0	0	0	0	0	0	0	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|unclassified	0	45.3876	40.1424	30.9009	46.5785	30.3126	36.5223	24.8575	32.7262	25.8911	35.5139	21.951	34.6155	34.3698	16.6037	30.8258	30.2574	42.8372	30.3224	26.2597	33.9565	0	31.2205	26.4097	39.2062	28.3181	34.0406	18.1709	34.7484	36.3036	23.2724	38.7846	28.6538	0	0	31.7023
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis	30.5534	24.5993	0	147.727	141.955	149.088	92.9359	156.629	122.235	91.3027	0	114.868	104.301	87.6025	112.074	127.155	137.428	112.834	156.584	126.13	104.728	0	97.5648	91.6388	127.209	123.551	117.252	112.696	130.43	0	0	45.7871	0	0	0	30.5925
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis|g__Escherichia.s__Escherichia_coli	0	0	0	0	16.9204	32.1952	0	0	11.7127	13.0052	0	8.97142	0	0	0	0	28.8364	0	40.1091	0	13.5323	0	0	0	0	11.5186	8.86831	0	24.16	0	0	0	0	0	0	0
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis|unclassified	0	0	0	29.7277	0	0	0	22.9389	27.8525	28.9614	0	13.8979	24.3481	0	13.4639	0	12.1011	41.4733	20.8466	23.5674	21.5022	0	0	26.5563	30.9184	27.6889	17.597	28.0165	16.784	0	0	0	0	0	0	0
"ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation"	0	0	0	12.2372	15.1364	6.39718	7.13616	7.5849	5.54637	7.00215	0	13.0377	5.88908	0	0	10.6955	5.21211	0	6.1183	0	8.29065	0	0	0	3.88711	11.7922	5.69697	0	6.52724	0	0	0	0	0	0	0
"ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation|g__Escherichia.s__Escherichia_coli"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation|g__Klebsiella.s__Klebsiella_oxytoca"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation|g__Klebsiella.s__Klebsiella_pneumoniae"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation|unclassified"	0	0	0	5.53567	0	2.98686	5.74138	6.70452	4.27323	6.15546	0	4.08598	5.50746	0	0	0	3.32822	0	3.99285	0	6.74475	0	0	0	3.31066	3.31718	3.99778	0	4.21168	0	0	0	0	0	0	0
ARGININE-SYN4-PWY: L-ornithine biosynthesis II	125.09	150.992	120.485	128.525	76.416	98.1768	98.0024	132.63	110.447	87.3812	133.365	94.7262	101.285	90.1612	105.914	99.7537	99.1059	90.9945	90.4269	104.797	93.9398	122.602	82.937	97.531	98.816	107.558	94.8582	92.7609	77.4859	107.062	141.638	130.967	120.615	108.312	158.532	125.657
ARGININE-SYN4-PWY: L-ornithine biosynthesis II|g__Bacteroides.s__Bacteroides_cellulosilyticus	0	0	0	0	0	0	0	1.76999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.50142
ARGININE-SYN4-PWY: L-ornithine biosynthesis II|g__Bacteroides.s__Bacteroides_dorei	4.21024	7.50384	4.79987	3.83729	2.24917	3.5824	2.4429	1.77791	3.28244	2.26859	2.35504	2.64583	2.13431	2.67574	4.37767	3.61181	3.04308	0	2.38544	4.42795	0.797914	2.46653	2.40619	2.03409	2.42238	3.58433	2.63303	2.3982	1.80942	4.85233	3.52906	5.67881	2.79393	6.26155	4.41994	5.1533
ARGININE-SYN4-PWY: L-ornithine biosynthesis II|g__Bacteroides.s__Bacteroides_eggerthii	2.22073	0	1.35598	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.38853	0	0	0	0	0	0	0	0	1.98242
ARGININE-SYN4-PWY: L-ornithine biosynthesis II|g__Bacteroides.s__Bacteroides_finegoldii	0	0	0	0.51017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.315409	0	0	0	0	0	0	0	0.814903	0	0.512521	0	0	0	0	0	0	0
ARGININE-SYN4-PWY: L-ornithine biosynthesis II|g__Bacteroides.s__Bacteroides_fragilis	0	0	0.629284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARGININE-SYN4-PWY: L-ornithine biosynthesis II|g__Bacteroides.s__Bacteroides_ovatus	0.796356	0	1.35	2.42758	0	0	0	0	0	0	0	0	0	0	0	0	1.06708	0	1.24398	0	0	0	0	0	1.14294	0	1.66075	0	1.29153	0	0	0	0	0	0	4.10043
