,Superclass1,Superclass2,pathway,
P183-PWY,Degradation/Utilization/Assimilation,Aromatic Compound Degradation,catechol degradation to 2-oxopent-4-enoate I,
P184-PWY,Degradation/Utilization/Assimilation,Aromatic Compound Degradation,protocatechuate degradation I (meta-cleavage pathway),
P185-PWY,Degradation/Utilization/Assimilation,C1 Compound Utilization and Assimilation,formaldehyde assimilation III (dihydroxyacetone cycle),
P2-PWY,Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis",citrate lyase activation,
P201-PWY,Degradation/Utilization/Assimilation,Degradation/Utilization/Assimilation - Other,nitroglycerin degradation,
P203-PWY,Degradation/Utilization/Assimilation,Inorganic Nutrient Metabolism,sulfur disproportionation I (anaerobic),
P21-PWY,Generation of Precursor Metabolites and Energy,Pentose Phosphate Pathways,pentose phosphate pathway (partial),
P221-PWY,Degradation/Utilization/Assimilation,Degradation/Utilization/Assimilation - Other,octane oxidation,
P222-PWY,Degradation/Utilization/Assimilation,Inorganic Nutrient Metabolism,sulfide oxidation I (sulfide-quinone reductase),
P23-PWY,Degradation/Utilization/Assimilation,C1 Compound Utilization and Assimilation,reductive TCA cycle I,
P241-PWY,Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis",coenzyme B biosynthesis,
P261-PWY,Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis",coenzyme M biosynthesis I,
P281-PWY,Degradation/Utilization/Assimilation,Aromatic Compound Degradation,3-phenylpropanoate degradation,
P282-PWY,Generation of Precursor Metabolites and Energy,Chemoautotrophic Energy Metabolism,nitrite oxidation,
P283-PWY,Generation of Precursor Metabolites and Energy,Chemoautotrophic Energy Metabolism,hydrogen oxidation I (aerobic),
P3-PWY,Degradation/Utilization/Assimilation,Aromatic Compound Degradation,gallate degradation III (anaerobic),
P301-PWY,Generation of Precursor Metabolites and Energy,Chemoautotrophic Energy Metabolism,galena oxidation,
P302-PWY,Degradation/Utilization/Assimilation,Carbohydrate Degradation,L-sorbose degradation,
P303-PWY,Degradation/Utilization/Assimilation,Inorganic Nutrient Metabolism,ammonia oxidation II (anaerobic),
P321-PWY,Degradation/Utilization/Assimilation,Aromatic Compound Degradation,benzoyl-CoA degradation III (anaerobic),
P341-PWY,Generation of Precursor Metabolites and Energy,Glycolysis,glycolysis V (Pyrococcus),
P342-PWY,Degradation/Utilization/Assimilation,Aromatic Compound Degradation,orcinol degradation,
P343-PWY,Degradation/Utilization/Assimilation,Aromatic Compound Degradation,resorcinol degradation,
P344-PWY,Degradation/Utilization/Assimilation,Degradation/Utilization/Assimilation - Other,superpathway of acrylonitrile degradation,
P345-PWY,Degradation/Utilization/Assimilation,Aromatic Compound Degradation,aldoxime degradation,
P381-PWY,Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis",adenosylcobalamin biosynthesis II (late cobalt incorporation),
P4-PWY,Biosynthesis,Amino Acid Biosynthesis,"superpathway of L-lysine, L-threonine and L-methionine biosynthesis I",
P401-PWY,Degradation/Utilization/Assimilation,Degradation/Utilization/Assimilation - Other,cyanide degradation,
P41-PWY,Degradation/Utilization/Assimilation,Carboxylate Degradation,pyruvate fermentation to acetate and lactate I,
P42-PWY,Degradation/Utilization/Assimilation,C1 Compound Utilization and Assimilation,incomplete reductive TCA cycle,
P421-PWY,Degradation/Utilization/Assimilation,Aromatic Compound Degradation,4-nitrotoluene degradation I,
P441-PWY,Degradation/Utilization/Assimilation,Carboxylate Degradation,superpathway of N-acetylneuraminate degradation,
P461-PWY,Degradation/Utilization/Assimilation,Carboxylate Degradation,"hexitol fermentation to lactate, formate, ethanol and acetate",
P481-PWY,Degradation/Utilization/Assimilation,Degradation/Utilization/Assimilation - Other,adamantanone degradation,
P482-PWY,Degradation/Utilization/Assimilation,Degradation/Utilization/Assimilation - Other,arsonoacetate degradation,
P483-PWY,Degradation/Utilization/Assimilation,Inorganic Nutrient Metabolism,phosphonoacetate degradation,
P541-PWY,Biosynthesis,Amine and Polyamine Biosynthesis,glycine betaine biosynthesis IV (from glycine),
P542-PWY,Degradation/Utilization/Assimilation,Amine and Polyamine Degradation,choline-O-sulfate degradation,
P561-PWY,Degradation/Utilization/Assimilation,Amine and Polyamine Degradation,L-proline betaine degradation,
P562-PWY,Degradation/Utilization/Assimilation,Secondary Metabolite Degradation,myo-inositol degradation I,
P581-PWY,Degradation/Utilization/Assimilation,Degradation/Utilization/Assimilation - Other,thiocyanate degradation I,
P601-PWY,Degradation/Utilization/Assimilation,Secondary Metabolite Degradation,(+)-camphor degradation,
P621-PWY,Degradation/Utilization/Assimilation,Degradation/Utilization/Assimilation - Other,nylon-6 oligomer degradation,
P641-PWY,Detoxification,Mercury Detoxification,phenylmercury acetate degradation,
P661-PWY,Degradation/Utilization/Assimilation,Aromatic Compound Degradation,dibenzo-p-dioxin degradation,
P662-PWY,Degradation/Utilization/Assimilation,Aromatic Compound Degradation,dibenzofuran degradation,
PANTO-PWY,Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis",phosphopantothenate biosynthesis I,
PANTOSYN-PWY,Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis",pantothenate and coenzyme A biosynthesis I,
PARATHION-DEGRADATION-PWY,Degradation/Utilization/Assimilation,Aromatic Compound Degradation,parathion degradation,
PCEDEG-PWY,Degradation/Utilization/Assimilation,Chlorinated Compound Degradation,tetrachloroethene degradation,
PCPDEG-PWY,Degradation/Utilization/Assimilation,Chlorinated Compound Degradation,pentachlorophenol degradation,
PENTOSE-P-PWY,Generation of Precursor Metabolites and Energy,Pentose Phosphate Pathways,pentose phosphate pathway,
PEPTIDOGLYCANSYN-PWY,Biosynthesis,Cell Structure Biosynthesis,peptidoglycan biosynthesis I (meso-diaminopimelate containing),
PHENOLDEG-PWY,Degradation/Utilization/Assimilation,Aromatic Compound Degradation,phenol degradation II (anaerobic),
PHENYLALANINE-DEG1-PWY,Degradation/Utilization/Assimilation,Amino Acid Degradation,L-phenylalanine degradation I (aerobic),
PHESYN,Biosynthesis,Amino Acid Biosynthesis,L-phenylalanine biosynthesis I,
PHOSLIPSYN-PWY,Biosynthesis,Fatty Acid and Lipid Biosynthesis,superpathway of phospholipid biosynthesis I (bacteria),
PHOSLIPSYN2-PWY,Biosynthesis,Fatty Acid and Lipid Biosynthesis,superpathway of phospholipid biosynthesis II (plants),
PHOSPHONOTASE-PWY,Degradation/Utilization/Assimilation,Inorganic Nutrient Metabolism,2-aminoethylphosphonate degradation I,
PHOTOALL-PWY,Generation of Precursor Metabolites and Energy,Photosynthesis,oxygenic photosynthesis,
PLPSAL-PWY,Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis",pyridoxal 5'-phosphate salvage I,
POLYAMINSYN3-PWY,Biosynthesis,Amine and Polyamine Biosynthesis,superpathway of polyamine biosynthesis II,
POLYAMSYN-PWY,Biosynthesis,Amine and Polyamine Biosynthesis,superpathway of polyamine biosynthesis I,
POLYISOPRENSYN-PWY,Biosynthesis,Polyprenyl Biosynthesis,polyisoprenoid biosynthesis (E. coli),
PPGPPMET-PWY,Biosynthesis,Metabolic Regulator Biosynthesis,ppGpp biosynthesis,
PROPFERM-PWY,Degradation/Utilization/Assimilation,Carboxylate Degradation,L-alanine fermentation to propanoate and acetate,
PROPIONMET-PWY,Degradation/Utilization/Assimilation,Carboxylate Degradation,propanoyl CoA degradation I,
PROSYN-PWY,Biosynthesis,Amino Acid Biosynthesis,L-proline biosynthesis I,
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY,Degradation/Utilization/Assimilation,Aromatic Compound Degradation,protocatechuate degradation II (ortho-cleavage pathway),
PROUT-PWY,Degradation/Utilization/Assimilation,Amino Acid Degradation,L-proline degradation,
PRPP-PWY,Superpathways,Superpathways,"superpathway of histidine, purine, and pyrimidine biosynthesis",
PUTDEG-PWY,Degradation/Utilization/Assimilation,Amine and Polyamine Degradation,putrescine degradation I,
PWY-0,Degradation/Utilization/Assimilation,Amine and Polyamine Degradation,putrescine degradation III,
PWY-1,Biosynthesis,Secondary Metabolite Biosynthesis,lathyrine biosynthesis,
PWY-1001,Biosynthesis,Carbohydrate Biosynthesis,cellulose biosynthesis,
PWY-101,Generation of Precursor Metabolites and Energy,Electron Transfer Chains,photosynthesis light reactions,
PWY-102,Activation/Inactivation/Interconversion,Inactivation,gibberellin inactivation I (2&beta;-hydroxylation),
PWY-1042,Generation of Precursor Metabolites and Energy,Glycolysis,glycolysis IV (plant cytosol),
PWY-1061,Biosynthesis,Carbohydrate Biosynthesis,homogalacturonan biosynthesis,
PWY-1081,Degradation/Utilization/Assimilation,Carbohydrate Degradation,homogalacturonan degradation,
PWY-112,Biosynthesis,Secondary Metabolite Biosynthesis,lupeol biosynthesis,
PWY-1121,Biosynthesis,Cell Structure Biosynthesis,suberin monomers biosynthesis,
PWY-116,Biosynthesis,Secondary Metabolite Biosynthesis,coniferin metabolism,
PWY-1164,Degradation/Utilization/Assimilation,Degradation/Utilization/Assimilation - Other,carbon disulfide oxidation I (anaerobic),
PWY-1186,Biosynthesis,Amino Acid Biosynthesis,L-homomethionine biosynthesis,
PWY-1187,Biosynthesis,Secondary Metabolite Biosynthesis,glucosinolate biosynthesis from homomethionine,
PWY-12,Biosynthesis,Secondary Metabolite Biosynthesis,pentaketide chromone biosynthesis,
PWY-1263,Degradation/Utilization/Assimilation,Inorganic Nutrient Metabolism,taurine degradation I,
PWY-1264,Degradation/Utilization/Assimilation,Inorganic Nutrient Metabolism,taurine degradation II,
PWY-1269,Biosynthesis,Carbohydrate Biosynthesis,CMP-3-deoxy-D-manno-octulosonate biosynthesis I,
PWY-1281,Degradation/Utilization/Assimilation,Inorganic Nutrient Metabolism,sulfoacetaldehyde degradation I,
PWY-13,Biosynthesis,Secondary Metabolite Biosynthesis,superpathway of tetrahydroxyxanthone biosynthesis,
PWY-1341,Degradation/Utilization/Assimilation,Aromatic Compound Degradation,phenylacetate degradation II (anaerobic),
PWY-1361,Degradation/Utilization/Assimilation,Aromatic Compound Degradation,benzoyl-CoA degradation I (aerobic),
PWY-1381,Degradation/Utilization/Assimilation,Aromatic Compound Degradation,fluorene degradation II,
PWY-142,Degradation/Utilization/Assimilation,Aromatic Compound Degradation,m-xylene degradation (anaerobic),
PWY-1422,Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis",vitamin E biosynthesis (tocopherols),
PWY-1501,Degradation/Utilization/Assimilation,Aromatic Compound Degradation,mandelate degradation I,
PWY-1541,Degradation/Utilization/Assimilation,Inorganic Nutrient Metabolism,superpathway of taurine degradation,
PWY-1581,Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis",plastoquinol-9 biosynthesis I,
PWY-1622,Degradation/Utilization/Assimilation,C1 Compound Utilization and Assimilation,formaldehyde assimilation I (serine pathway),
PWY-1641,Degradation/Utilization/Assimilation,C1 Compound Utilization and Assimilation,methane oxidation to methanol I,
PWY-1701,Degradation/Utilization/Assimilation,C1 Compound Utilization and Assimilation,methanol and methylamine oxidation to formaldehyde,
PWY-1722,Degradation/Utilization/Assimilation,C1 Compound Utilization and Assimilation,"formate reduction to 5,10-methylenetetrahydrofolate",
PWY-1723,Degradation/Utilization/Assimilation,C1 Compound Utilization and Assimilation,formaldehyde oxidation V (H4MPT pathway),
PWY-1741,Activation/Inactivation/Interconversion,Inactivation,indole-3-acetyl-ester conjugate biosynthesis,
PWY-1781,Degradation/Utilization/Assimilation,Amino Acid Degradation,&beta;-alanine degradation II,
PWY-1782,Activation/Inactivation/Interconversion,Inactivation,superpathway of indole-3-acetate conjugate biosynthesis,
PWY-1801,Degradation/Utilization/Assimilation,C1 Compound Utilization and Assimilation,formaldehyde oxidation II (glutathione-dependent),
PWY-181,Biosynthesis,Amino Acid Biosynthesis,photorespiration,
PWY-1822,Activation/Inactivation/Interconversion,Activation,indole-3-acetate activation I,
PWY-1861,Degradation/Utilization/Assimilation,C1 Compound Utilization and Assimilation,formaldehyde assimilation II (RuMP Cycle),
PWY-1881,Degradation/Utilization/Assimilation,C1 Compound Utilization and Assimilation,formate oxidation to CO2,
PWY-1882,Degradation/Utilization/Assimilation,C1 Compound Utilization and Assimilation,superpathway of C1 compounds oxidation to CO2,
PWY-19,Biosynthesis,Amino Acid Biosynthesis,L-cysteine Biosynthesis,
PWY-1901,Biosynthesis,Secondary Metabolite Biosynthesis,aurone biosynthesis,
PWY-1921,Activation/Inactivation/Interconversion,Activation,indole-3-acetate activation II,
PWY-1961,Activation/Inactivation/Interconversion,Inactivation,indole-3-acetate degradation I,
PWY-1962,Activation/Inactivation/Interconversion,Inactivation,indole-3-acetate degradation II,
PWY-1981,Activation/Inactivation/Interconversion,Inactivation,indole-3-acetate degradation III,
PWY-2,Degradation/Utilization/Assimilation,Amine and Polyamine Degradation,putrescine degradation IV,
PWY-2002,Biosynthesis,Secondary Metabolite Biosynthesis,isoflavonoid biosynthesis I,
PWY-2021,Activation/Inactivation/Interconversion,Inactivation,indole-3-acetate degradation IV,
PWY-2055,Biosynthesis,Secondary Metabolite Biosynthesis,superpathway of pterocarpan biosynthesis (via daidzein),
PWY-2083,Biosynthesis,Secondary Metabolite Biosynthesis,isoflavonoid biosynthesis II,
PWY-2161,Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis",folate polyglutamylation,
PWY-2161B,Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis",glutamate removal from folates,
PWY-2181,Biosynthesis,Secondary Metabolite Biosynthesis,free phenylpropanoid acid biosynthesis,
PWY-2201,Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis",folate transformations I,
PWY-2221,Degradation/Utilization/Assimilation,Carbohydrate Degradation,Entner-Doudoroff pathway III (semi-phosphorylative),
PWY-2229,Biosynthesis,Secondary Metabolite Biosynthesis,superpathway of pterocarpan biosynthesis (via formononetin),
PWY-2242,Degradation/Utilization/Assimilation,Inorganic Nutrient Metabolism,ammonia oxidation III,
PWY-2261,Detoxification,Reactive Oxygen Species Degradation,ascorbate glutathione cycle,
PWY-2301,Biosynthesis,Secondary Metabolite Biosynthesis,myo-inositol biosynthesis,
PWY-2321,Biosynthesis,Secondary Metabolite Biosynthesis,formononetin biosynthesis,
PWY-2343,Activation/Inactivation/Interconversion,Interconversions,daidzein conjugates interconversion,
PWY-2345,Activation/Inactivation/Interconversion,Interconversions,genistein conjugates interconversion,
PWY-2361,Degradation/Utilization/Assimilation,Carboxylate Degradation,3-oxoadipate degradation,
PWY-2381,Degradation/Utilization/Assimilation,Aromatic Compound Degradation,4-nitrobenzoate degradation,
PWY-241,Generation of Precursor Metabolites and Energy,Photosynthesis,"C4 photosynthetic carbon assimilation cycle, NADP-ME type",
PWY-2421,Degradation/Utilization/Assimilation,Aromatic Compound Degradation,indole-3-acetate degradation VIII (bacterial),
PWY-2463,Biosynthesis,Secondary Metabolite Biosynthesis,medicarpin biosynthesis,
PWY-2464,Biosynthesis,Secondary Metabolite Biosynthesis,maackiain biosynthesis,
PWY-2467,Biosynthesis,Secondary Metabolite Biosynthesis,pisatin biosynthesis,
PWY-2501,Degradation/Utilization/Assimilation,Fatty Acid and Lipid Degradation,fatty acid &alpha;-oxidation I,
PWY-2503,Degradation/Utilization/Assimilation,Aromatic Compound Degradation,benzoate degradation I (aerobic),
PWY-2504,Degradation/Utilization/Assimilation,Aromatic Compound Degradation,superpathway of aromatic compound degradation via 3-oxoadipate,
PWY-2541,Biosynthesis,Fatty Acid and Lipid Biosynthesis,plant sterol biosynthesis,
PWY-2561,Activation/Inactivation/Interconversion,Interconversions,medicarpin conjugates interconversion,
PWY-2582,Biosynthesis,Secondary Metabolite Biosynthesis,brassinosteroid biosynthesis II,
PWY-2601,Degradation/Utilization/Assimilation,Inorganic Nutrient Metabolism,isethionate degradation,
PWY-2622,Biosynthesis,Carbohydrate Biosynthesis,trehalose biosynthesis IV,
PWY-2661,Biosynthesis,Carbohydrate Biosynthesis,trehalose biosynthesis V,
PWY-2681,Biosynthesis,Secondary Metabolite Biosynthesis,trans-zeatin biosynthesis,
PWY-2701,Activation/Inactivation/Interconversion,Interconversions,maackiain conjugates interconversion,
PWY-2721,Degradation/Utilization/Assimilation,Carbohydrate Degradation,trehalose degradation III,
PWY-2722,Degradation/Utilization/Assimilation,Carbohydrate Degradation,trehalose degradation IV,
PWY-2723,Degradation/Utilization/Assimilation,Carbohydrate Degradation,trehalose degradation V,
PWY-2724,Degradation/Utilization/Assimilation,Fatty Acid and Lipid Degradation,alkane oxidation,
PWY-2761,Biosynthesis,Secondary Metabolite Biosynthesis,glyceollin biosynthesis I,
PWY-2762,Biosynthesis,Secondary Metabolite Biosynthesis,glyceollin biosynthesis II,
PWY-2781,Biosynthesis,Secondary Metabolite Biosynthesis,cis-zeatin biosynthesis,
PWY-282,Biosynthesis,Cell Structure Biosynthesis,cuticular wax biosynthesis,
PWY-2821,Biosynthesis,Secondary Metabolite Biosynthesis,glucosinolate biosynthesis from phenylalanine,
PWY-283,Degradation/Utilization/Assimilation,Aromatic Compound Degradation,benzoate degradation II (aerobic and anaerobic),
PWY-2841,Degradation/Utilization/Assimilation,Hormone Degradation,cytokinins degradation,
PWY-2861,Activation/Inactivation/Interconversion,Interconversions,biochanin A conjugates interconversion,
PWY-2881,Biosynthesis,Secondary Metabolite Biosynthesis,cytokinins 7-N-glucoside biosynthesis,
PWY-2901,Biosynthesis,Secondary Metabolite Biosynthesis,cytokinins 9-N-glucoside biosynthesis,
PWY-2902,Biosynthesis,Secondary Metabolite Biosynthesis,cytokinin-O-glucosides biosynthesis,
PWY-2904,Activation/Inactivation/Interconversion,Interconversions,formononetin conjugates interconversion,
PWY-2921,Biosynthesis,Secondary Metabolite Biosynthesis,capsidiol biosynthesis,
PWY-2941,Biosynthesis,Amino Acid Biosynthesis,L-lysine biosynthesis II,
PWY-2942,Biosynthesis,Amino Acid Biosynthesis,L-lysine biosynthesis III,
PWY-2961,Biosynthesis,Secondary Metabolite Biosynthesis,sesquiterpenoid phytoalexins biosynthesis,
PWY-2981,Biosynthesis,Secondary Metabolite Biosynthesis,diterpene phytoalexins precursors biosynthesis,
PWY-3,Degradation/Utilization/Assimilation,Amine and Polyamine Degradation,putrescine degradation V,
PWY-3001,Biosynthesis,Amino Acid Biosynthesis,superpathway of L-isoleucine biosynthesis I,
PWY-301,Degradation/Utilization/Assimilation,Carboxylate Degradation,cyclohexane-1-carboxylate degradation (anaerobic),
PWY-3022,Biosynthesis,Secondary Metabolite Biosynthesis,linamarin biosynthesis,
PWY-3041,Biosynthesis,Secondary Metabolite Biosynthesis,monoterpene biosynthesis,
PWY-3042,Biosynthesis,Secondary Metabolite Biosynthesis,phaseollin biosynthesis,
